epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,33300.3,0.49131,2.19918,0.92719,0.43373,0.32796,0.26364,0.25818,0.30768,1.80034,0.77592,0.000615781,0.000615781,0.000615781
43,33801.3,0.48144,2.07921,0.92002,0.54464,0.35282,0.38376,0.38146,0.30041,1.76012,0.76236,0.000600313,0.000600313,0.000600313
44,34305.7,0.48509,2.11446,0.91527,0.35369,0.32558,0.16242,0.16061,0.29218,2.04607,0.76853,0.000584844,0.000584844,0.000584844
45,34809.8,0.46936,2.06193,0.91144,0.97561,0.22934,0.42943,0.42193,0.34723,1.6652,0.78567,0.000569375,0.000569375,0.000569375
46,35335.3,0.44906,2.02819,0.91026,0.39253,0.28915,0.19078,0.18569,0.32331,2.0209,0.78485,0.000553906,0.000553906,0.000553906
47,35842.6,0.4621,2.01168,0.90656,0.72935,0.2799,0.29638,0.28397,0.34092,1.72976,0.77902,0.000538438,0.000538438,0.000538438
48,36346.7,0.44714,1.95613,0.90184,0.41054,0.2662,0.18728,0.18154,0.33673,2.02875,0.78441,0.000522969,0.000522969,0.000522969
49,36855.3,0.42911,1.97578,0.89128,0.22198,0.46745,0.33986,0.33828,0.25676,1.63893,0.76169,0.0005075,0.0005075,0.0005075
50,37376.3,0.43058,2.00965,0.90289,0.39425,0.30209,0.19255,0.18787,0.26864,1.85014,0.7688,0.000492031,0.000492031,0.000492031
51,37913,0.43835,1.91002,0.8978,0.19093,0.40691,0.27129,0.26149,0.33328,1.81742,0.79666,0.000476562,0.000476562,0.000476562
52,38401.8,0.41652,1.84581,0.883,0.44072,0.30309,0.27003,0.26809,0.25538,1.65125,0.77023,0.000461094,0.000461094,0.000461094
53,38895.9,0.40917,1.78692,0.87902,0.44334,0.42219,0.43438,0.42941,0.22864,1.5157,0.75539,0.000445625,0.000445625,0.000445625
