epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.812,2.87385,6.80979,2.56373,7e-05,0.01731,4e-05,0,2.4299,6.5298,2.41375,0.000407407,0.000407407,0.000407407
2,431.09,2.11634,5.32987,1.88621,0.00099,0.27185,0.0015,0.00063,2.01423,5.43276,1.63941,0.000742491,0.000742491,0.000742491
3,670.844,1.94946,4.83829,1.80387,0.00038,0.14634,0.00072,0.00015,3.50416,5.06835,3.25694,0.000995074,0.000995074,0.000995074
4,916.56,1.78328,4.52412,1.71503,0.0006,0.20325,0.00176,0.00038,2.88705,4.93575,2.56572,0.00087875,0.00087875,0.00087875
5,1168.25,1.76946,4.1827,1.70479,0.77712,0.03455,0.01967,0.00773,1.57676,6.49521,1.63519,0.000755,0.000755,0.000755
6,1420.66,1.599,3.93172,1.60007,0.00228,0.57165,0.02372,0.00946,1.50021,3.89537,1.59111,0.00063125,0.00063125,0.00063125
7,1679.57,1.51637,3.68862,1.55377,0.00205,0.13928,0.00401,0.00117,1.54762,4.86295,1.57399,0.0005075,0.0005075,0.0005075
8,1941.47,1.38912,3.55044,1.47296,0.76893,0.03659,0.019,0.01087,1.30634,3.74412,1.4968,0.00038375,0.00038375,0.00038375
9,2200.41,1.30832,3.36066,1.40693,0.82326,0.05488,0.05901,0.03568,1.32552,3.2407,1.39178,0.00026,0.00026,0.00026
10,2465.25,1.2709,3.30564,1.37644,0.79699,0.12398,0.06134,0.03876,1.20186,3.39775,1.36355,0.00013625,0.00013625,0.00013625
